structure,total,inUse,free,time
Ann Ashley,811.0,469.0,342.0,1676743628.2694285
South Ashley (Kline Lot),143.0,83.0,60.0,1676743628.2694285
4th & William,960.0,375.0,585.0,1676743628.2694285
1st & Wash.,243.0,118.0,125.0,1676743628.2694285
4th & Wash.,270.0,153.0,117.0,1676743628.2694285
1st and William,110.0,0.0,110.0,1676747228.285415
Library Lane,744.0,134.0,610.0,1676747228.285415
Maynard,791.0,788.0,3.0,1676747228.285415
Forest Garage,853.0,141.0,712.0,1676747228.285415
Liberty Square (Tally Hall),540.0,316.0,224.0,1676747228.285415
Ann Ashley,811.0,469.0,342.0,1676747228.285415
South Ashley (Kline Lot),143.0,83.0,60.0,1676747228.285415
4th & William,960.0,375.0,585.0,1676747228.285415
1st & Wash.,243.0,118.0,125.0,1676747228.285415
4th & Wash.,270.0,153.0,117.0,1676747228.285415
1st and William,110.0,0.0,110.0,1676750831.1954226
Library Lane,744.0,134.0,610.0,1676750831.1954226
Maynard,791.0,788.0,3.0,1676750831.1954226
Forest Garage,853.0,141.0,712.0,1676750831.1954226
Liberty Square (Tally Hall),540.0,316.0,224.0,1676750831.1954226
Ann Ashley,811.0,469.0,342.0,1676750831.1954226
South Ashley (Kline Lot),143.0,83.0,60.0,1676750831.1954226
4th & William,960.0,375.0,585.0,1676750831.1954226
1st & Wash.,243.0,118.0,125.0,1676750831.1954226
4th & Wash.,270.0,153.0,117.0,1676750831.1954226
1st and William,110.0,0.0,110.0,1676754428.137181
Library Lane,744.0,168.0,576.0,1676754428.137181
Maynard,791.0,670.0,121.0,1676754428.137181
Forest Garage,853.0,155.0,698.0,1676754428.137181
Liberty Square (Tally Hall),540.0,375.0,165.0,1676754428.137181
Ann Ashley,811.0,475.0,336.0,1676754428.137181
South Ashley (Kline Lot),143.0,98.0,45.0,1676754428.137181
4th & William,960.0,416.0,544.0,1676754428.137181
1st & Wash.,243.0,142.0,101.0,1676754428.137181
4th & Wash.,270.0,191.0,79.0,1676754428.137181
1st and William,110.0,0.0,110.0,1676758031.3048308
Library Lane,744.0,168.0,576.0,1676758031.3048308
Maynard,791.0,670.0,121.0,1676758031.3048308
Forest Garage,853.0,155.0,698.0,1676758031.3048308
Liberty Square (Tally Hall),540.0,375.0,165.0,1676758031.3048308
Ann Ashley,811.0,475.0,336.0,1676758031.3048308
South Ashley (Kline Lot),143.0,98.0,45.0,1676758031.3048308
4th & William,960.0,416.0,544.0,1676758031.3048308
1st & Wash.,243.0,142.0,101.0,1676758031.3048308
4th & Wash.,270.0,191.0,79.0,1676758031.3048308
1st and William,110.0,0.0,110.0,1676761627.1922674
Library Lane,744.0,168.0,576.0,1676761627.1922674
Maynard,791.0,670.0,121.0,1676761627.1922674
Forest Garage,853.0,155.0,698.0,1676761627.1922674
Liberty Square (Tally Hall),540.0,375.0,165.0,1676761627.1922674
Ann Ashley,811.0,475.0,336.0,1676761627.1922674
South Ashley (Kline Lot),143.0,98.0,45.0,1676761627.1922674
4th & William,960.0,416.0,544.0,1676761627.1922674
1st & Wash.,243.0,142.0,101.0,1676761627.1922674
4th & Wash.,270.0,191.0,79.0,1676761627.1922674
1st and William,110.0,0.0,110.0,1676765234.6912076
Library Lane,744.0,180.0,564.0,1676765234.6912076
Maynard,791.0,665.0,126.0,1676765234.6912076
Forest Garage,853.0,215.0,638.0,1676765234.6912076
Liberty Square (Tally Hall),540.0,442.0,98.0,1676765234.6912076
Ann Ashley,811.0,532.0,279.0,1676765234.6912076
South Ashley (Kline Lot),143.0,141.0,2.0,1676765234.6912076
4th & William,960.0,729.0,231.0,1676765234.6912076
1st & Wash.,243.0,243.0,0.0,1676765234.6912076
4th & Wash.,270.0,211.0,59.0,1676765234.6912076
1st and William,110.0,0.0,110.0,1676768826.8258622
Library Lane,744.0,180.0,564.0,1676768826.8258622
Maynard,791.0,665.0,126.0,1676768826.8258622
Forest Garage,853.0,215.0,638.0,1676768826.8258622
Liberty Square (Tally Hall),540.0,442.0,98.0,1676768826.8258622
Ann Ashley,811.0,532.0,279.0,1676768826.8258622
South Ashley (Kline Lot),143.0,141.0,2.0,1676768826.8258622
4th & William,960.0,729.0,231.0,1676768826.8258622
1st & Wash.,243.0,243.0,0.0,1676768826.8258622
4th & Wash.,270.0,211.0,59.0,1676768826.8258622
1st and William,110.0,0.0,110.0,1676772427.0953162
Library Lane,744.0,180.0,564.0,1676772427.0953162
Maynard,791.0,665.0,126.0,1676772427.0953162
Forest Garage,853.0,215.0,638.0,1676772427.0953162
Liberty Square (Tally Hall),540.0,442.0,98.0,1676772427.0953162
Ann Ashley,811.0,532.0,279.0,1676772427.0953162
South Ashley (Kline Lot),143.0,141.0,2.0,1676772427.0953162
4th & William,960.0,729.0,231.0,1676772427.0953162
1st & Wash.,243.0,243.0,0.0,1676772427.0953162
4th & Wash.,270.0,211.0,59.0,1676772427.0953162
1st and William,110.0,0.0,110.0,1676776029.5104406
Library Lane,744.0,180.0,564.0,1676776029.5104406
Maynard,791.0,665.0,126.0,1676776029.5104406
Forest Garage,853.0,215.0,638.0,1676776029.5104406
Liberty Square (Tally Hall),540.0,442.0,98.0,1676776029.5104406
Ann Ashley,811.0,532.0,279.0,1676776029.5104406
South Ashley (Kline Lot),143.0,141.0,2.0,1676776029.5104406
4th & William,960.0,729.0,231.0,1676776029.5104406
1st & Wash.,243.0,243.0,0.0,1676776029.5104406
4th & Wash.,270.0,211.0,59.0,1676776029.5104406
1st and William,110.0,0.0,110.0,1676779633.2832057
Library Lane,744.0,87.0,657.0,1676779633.2832057
Maynard,791.0,399.0,392.0,1676779633.2832057
Forest Garage,853.0,154.0,699.0,1676779633.2832057
Liberty Square (Tally Hall),540.0,290.0,250.0,1676779633.2832057
Ann Ashley,811.0,443.0,368.0,1676779633.2832057
South Ashley (Kline Lot),143.0,64.0,79.0,1676779633.2832057
4th & William,960.0,390.0,570.0,1676779633.2832057
1st & Wash.,243.0,243.0,0.0,1676779633.2832057
4th & Wash.,270.0,117.0,153.0,1676779633.2832057
1st and William,110.0,0.0,110.0,1676783231.0079691
Library Lane,744.0,87.0,657.0,1676783231.0079691
Maynard,791.0,399.0,392.0,1676783231.0079691
Forest Garage,853.0,154.0,699.0,1676783231.0079691
Liberty Square (Tally Hall),540.0,290.0,250.0,1676783231.0079691
Ann Ashley,811.0,443.0,368.0,1676783231.0079691
South Ashley (Kline Lot),143.0,64.0,79.0,1676783231.0079691
4th & William,960.0,390.0,570.0,1676783231.0079691
1st & Wash.,243.0,243.0,0.0,1676783231.0079691
4th & Wash.,270.0,117.0,153.0,1676783231.0079691
1st and William,110.0,0.0,110.0,1676786830.666221
Library Lane,744.0,87.0,657.0,1676786830.666221
Maynard,791.0,399.0,392.0,1676786830.666221
Forest Garage,853.0,154.0,699.0,1676786830.666221
Liberty Square (Tally Hall),540.0,290.0,250.0,1676786830.666221
Ann Ashley,811.0,443.0,368.0,1676786830.666221
South Ashley (Kline Lot),143.0,64.0,79.0,1676786830.666221
4th & William,960.0,390.0,570.0,1676786830.666221
1st & Wash.,243.0,243.0,0.0,1676786830.666221
4th & Wash.,270.0,117.0,153.0,1676786830.666221
1st and William,110.0,0.0,110.0,1676790431.778833
Library Lane,744.0,87.0,657.0,1676790431.778833
Maynard,791.0,399.0,392.0,1676790431.778833
Forest Garage,853.0,154.0,699.0,1676790431.778833
Liberty Square (Tally Hall),540.0,290.0,250.0,1676790431.778833
Ann Ashley,811.0,443.0,368.0,1676790431.778833
South Ashley (Kline Lot),143.0,64.0,79.0,1676790431.778833
4th & William,960.0,390.0,570.0,1676790431.778833
1st & Wash.,243.0,243.0,0.0,1676790431.778833
4th & Wash.,270.0,117.0,153.0,1676790431.778833
1st and William,110.0,0.0,110.0,1676794031.026937
Library Lane,744.0,73.0,671.0,1676794031.026937
Maynard,791.0,147.0,644.0,1676794031.026937
Forest Garage,853.0,69.0,784.0,1676794031.026937
Liberty Square (Tally Hall),540.0,223.0,317.0,1676794031.026937
Ann Ashley,811.0,411.0,400.0,1676794031.026937
South Ashley (Kline Lot),143.0,22.0,121.0,1676794031.026937
4th & William,960.0,281.0,679.0,1676794031.026937
1st & Wash.,243.0,243.0,0.0,1676794031.026937
4th & Wash.,270.0,32.0,238.0,1676794031.026937
1st and William,110.0,0.0,110.0,1676797632.4650905
Library Lane,744.0,73.0,671.0,1676797632.4650905
Maynard,791.0,147.0,644.0,1676797632.4650905
Forest Garage,853.0,69.0,784.0,1676797632.4650905
Liberty Square (Tally Hall),540.0,223.0,317.0,1676797632.4650905
Ann Ashley,811.0,411.0,400.0,1676797632.4650905
South Ashley (Kline Lot),143.0,22.0,121.0,1676797632.4650905
4th & William,960.0,281.0,679.0,1676797632.4650905
1st & Wash.,243.0,243.0,0.0,1676797632.4650905
4th & Wash.,270.0,32.0,238.0,1676797632.4650905
1st and William,110.0,0.0,110.0,1676801230.2788243
Library Lane,744.0,73.0,671.0,1676801230.2788243
Maynard,791.0,147.0,644.0,1676801230.2788243
Forest Garage,853.0,69.0,784.0,1676801230.2788243
Liberty Square (Tally Hall),540.0,223.0,317.0,1676801230.2788243
Ann Ashley,811.0,411.0,400.0,1676801230.2788243
South Ashley (Kline Lot),143.0,22.0,121.0,1676801230.2788243
4th & William,960.0,281.0,679.0,1676801230.2788243
1st & Wash.,243.0,243.0,0.0,1676801230.2788243
4th & Wash.,270.0,32.0,238.0,1676801230.2788243
1st and William,110.0,0.0,110.0,1676804828.8804202
Library Lane,744.0,65.0,679.0,1676804828.8804202
Maynard,791.0,66.0,725.0,1676804828.8804202
Forest Garage,853.0,1.0,852.0,1676804828.8804202
Liberty Square (Tally Hall),540.0,177.0,363.0,1676804828.8804202
Ann Ashley,811.0,344.0,467.0,1676804828.8804202
South Ashley (Kline Lot),143.0,9.0,134.0,1676804828.8804202
4th & William,960.0,251.0,709.0,1676804828.8804202
1st & Wash.,243.0,243.0,0.0,1676804828.8804202
4th & Wash.,270.0,11.0,259.0,1676804828.8804202
1st and William,110.0,0.0,110.0,1676808428.3569684
Library Lane,744.0,65.0,679.0,1676808428.3569684
Maynard,791.0,66.0,725.0,1676808428.3569684
Forest Garage,853.0,1.0,852.0,1676808428.3569684
Liberty Square (Tally Hall),540.0,177.0,363.0,1676808428.3569684
Ann Ashley,811.0,344.0,467.0,1676808428.3569684
South Ashley (Kline Lot),143.0,9.0,134.0,1676808428.3569684
4th & William,960.0,251.0,709.0,1676808428.3569684
1st & Wash.,243.0,243.0,0.0,1676808428.3569684
4th & Wash.,270.0,11.0,259.0,1676808428.3569684
1st and William,110.0,0.0,110.0,1676812034.9954588
Library Lane,744.0,65.0,679.0,1676812034.9954588
Maynard,791.0,66.0,725.0,1676812034.9954588
Forest Garage,853.0,1.0,852.0,1676812034.9954588
Liberty Square (Tally Hall),540.0,177.0,363.0,1676812034.9954588
Ann Ashley,811.0,344.0,467.0,1676812034.9954588
South Ashley (Kline Lot),143.0,9.0,134.0,1676812034.9954588
4th & William,960.0,251.0,709.0,1676812034.9954588
1st & Wash.,243.0,243.0,0.0,1676812034.9954588
4th & Wash.,270.0,11.0,259.0,1676812034.9954588
1st and William,110.0,0.0,110.0,1676815631.7483585
Library Lane,744.0,65.0,679.0,1676815631.7483585
Maynard,791.0,66.0,725.0,1676815631.7483585
Forest Garage,853.0,1.0,852.0,1676815631.7483585
Liberty Square (Tally Hall),540.0,177.0,363.0,1676815631.7483585
Ann Ashley,811.0,344.0,467.0,1676815631.7483585
South Ashley (Kline Lot),143.0,9.0,134.0,1676815631.7483585
4th & William,960.0,251.0,709.0,1676815631.7483585
1st & Wash.,243.0,243.0,0.0,1676815631.7483585
4th & Wash.,270.0,11.0,259.0,1676815631.7483585
1st and William,110.0,0.0,110.0,1676819228.9515321
Library Lane,744.0,65.0,679.0,1676819228.9515321
Maynard,791.0,66.0,725.0,1676819228.9515321
Forest Garage,853.0,1.0,852.0,1676819228.9515321
Liberty Square (Tally Hall),540.0,177.0,363.0,1676819228.9515321
Ann Ashley,811.0,344.0,467.0,1676819228.9515321
South Ashley (Kline Lot),143.0,9.0,134.0,1676819228.9515321
4th & William,960.0,251.0,709.0,1676819228.9515321
1st & Wash.,243.0,243.0,0.0,1676819228.9515321
4th & Wash.,270.0,11.0,259.0,1676819228.9515321
1st and William,110.0,0.0,110.0,1676822832.1387095
Library Lane,744.0,65.0,679.0,1676822832.1387095
Maynard,791.0,66.0,725.0,1676822832.1387095
Forest Garage,853.0,1.0,852.0,1676822832.1387095
Liberty Square (Tally Hall),540.0,177.0,363.0,1676822832.1387095
Ann Ashley,811.0,344.0,467.0,1676822832.1387095
South Ashley (Kline Lot),143.0,9.0,134.0,1676822832.1387095
4th & William,960.0,251.0,709.0,1676822832.1387095
1st & Wash.,243.0,243.0,0.0,1676822832.1387095
4th & Wash.,270.0,11.0,259.0,1676822832.1387095
1st and William,110.0,0.0,110.0,1676826456.8578935
Library Lane,744.0,65.0,679.0,1676826456.8578935
Maynard,791.0,66.0,725.0,1676826456.8578935
Forest Garage,853.0,1.0,852.0,1676826456.8578935
Liberty Square (Tally Hall),540.0,177.0,363.0,1676826456.8578935
Ann Ashley,811.0,344.0,467.0,1676826456.8578935
South Ashley (Kline Lot),143.0,9.0,134.0,1676826456.8578935
4th & William,960.0,251.0,709.0,1676826456.8578935
1st & Wash.,243.0,142.0,101.0,1676826456.8578935
4th & Wash.,270.0,11.0,259.0,1676826456.8578935
1st and William,110.0,0.0,110.0,1676830028.9589198
Library Lane,744.0,65.0,679.0,1676830028.9589198
Maynard,791.0,66.0,725.0,1676830028.9589198
Forest Garage,853.0,1.0,852.0,1676830028.9589198
Liberty Square (Tally Hall),540.0,177.0,363.0,1676830028.9589198
Ann Ashley,811.0,344.0,467.0,1676830028.9589198
South Ashley (Kline Lot),143.0,9.0,134.0,1676830028.9589198
4th & William,960.0,251.0,709.0,1676830028.9589198
1st & Wash.,243.0,142.0,101.0,1676830028.9589198
4th & Wash.,270.0,11.0,259.0,1676830028.9589198
1st and William,110.0,0.0,110.0,1676833629.79143
Library Lane,744.0,65.0,679.0,1676833629.79143
Maynard,791.0,66.0,725.0,1676833629.79143
Forest Garage,853.0,1.0,852.0,1676833629.79143
Liberty Square (Tally Hall),540.0,177.0,363.0,1676833629.79143
Ann Ashley,811.0,344.0,467.0,1676833629.79143
South Ashley (Kline Lot),143.0,9.0,134.0,1676833629.79143
4th & William,960.0,251.0,709.0,1676833629.79143
1st & Wash.,243.0,142.0,101.0,1676833629.79143
4th & Wash.,270.0,11.0,259.0,1676833629.79143
1st and William,110.0,0.0,110.0,1676837229.83082
Library Lane,744.0,65.0,679.0,1676837229.83082
Maynard,791.0,66.0,725.0,1676837229.83082
Forest Garage,853.0,1.0,852.0,1676837229.83082
Liberty Square (Tally Hall),540.0,177.0,363.0,1676837229.83082
Ann Ashley,811.0,344.0,467.0,1676837229.83082
South Ashley (Kline Lot),143.0,9.0,134.0,1676837229.83082
4th & William,960.0,251.0,709.0,1676837229.83082
1st & Wash.,243.0,142.0,101.0,1676837229.83082
4th & Wash.,270.0,11.0,259.0,1676837229.83082
1st and William,110.0,0.0,110.0,1676840830.1458662
Library Lane,744.0,73.0,671.0,1676840830.1458662
Maynard,791.0,66.0,725.0,1676840830.1458662
Forest Garage,853.0,1.0,852.0,1676840830.1458662
Liberty Square (Tally Hall),540.0,177.0,363.0,1676840830.1458662
Ann Ashley,811.0,351.0,460.0,1676840830.1458662
South Ashley (Kline Lot),143.0,9.0,134.0,1676840830.1458662
4th & William,960.0,251.0,709.0,1676840830.1458662
1st & Wash.,243.0,142.0,101.0,1676840830.1458662
4th & Wash.,270.0,11.0,259.0,1676840830.1458662
1st and William,110.0,0.0,110.0,1676844430.5295522
Library Lane,744.0,73.0,671.0,1676844430.5295522
Maynard,791.0,66.0,725.0,1676844430.5295522
Forest Garage,853.0,1.0,852.0,1676844430.5295522
Liberty Square (Tally Hall),540.0,177.0,363.0,1676844430.5295522
Ann Ashley,811.0,351.0,460.0,1676844430.5295522
South Ashley (Kline Lot),143.0,9.0,134.0,1676844430.5295522
4th & William,960.0,251.0,709.0,1676844430.5295522
1st & Wash.,243.0,142.0,101.0,1676844430.5295522
4th & Wash.,270.0,11.0,259.0,1676844430.5295522
1st and William,110.0,0.0,110.0,1676848028.9204397
Library Lane,744.0,73.0,671.0,1676848028.9204397
Maynard,791.0,66.0,725.0,1676848028.9204397
Forest Garage,853.0,1.0,852.0,1676848028.9204397
Liberty Square (Tally Hall),540.0,177.0,363.0,1676848028.9204397
Ann Ashley,811.0,351.0,460.0,1676848028.9204397
South Ashley (Kline Lot),143.0,9.0,134.0,1676848028.9204397
4th & William,960.0,251.0,709.0,1676848028.9204397
1st & Wash.,243.0,142.0,101.0,1676848028.9204397
4th & Wash.,270.0,11.0,259.0,1676848028.9204397
1st and William,110.0,0.0,110.0,1676851642.4572065
Library Lane,744.0,73.0,671.0,1676851642.4572065
Maynard,791.0,66.0,725.0,1676851642.4572065
Forest Garage,853.0,1.0,852.0,1676851642.4572065
Liberty Square (Tally Hall),540.0,177.0,363.0,1676851642.4572065
Ann Ashley,811.0,352.0,459.0,1676851642.4572065
South Ashley (Kline Lot),143.0,9.0,134.0,1676851642.4572065
4th & William,960.0,251.0,709.0,1676851642.4572065
1st & Wash.,243.0,243.0,0.0,1676851642.4572065
4th & Wash.,270.0,11.0,259.0,1676851642.4572065
1st and William,110.0,0.0,110.0,1676855235.1446545
Library Lane,744.0,73.0,671.0,1676855235.1446545
Maynard,791.0,66.0,725.0,1676855235.1446545
Forest Garage,853.0,1.0,852.0,1676855235.1446545
Liberty Square (Tally Hall),540.0,177.0,363.0,1676855235.1446545
Ann Ashley,811.0,352.0,459.0,1676855235.1446545
South Ashley (Kline Lot),143.0,9.0,134.0,1676855235.1446545
4th & William,960.0,251.0,709.0,1676855235.1446545
1st & Wash.,243.0,243.0,0.0,1676855235.1446545
4th & Wash.,270.0,11.0,259.0,1676855235.1446545
1st and William,110.0,0.0,110.0,1676858830.2775393
Library Lane,744.0,73.0,671.0,1676858830.2775393
Maynard,791.0,66.0,725.0,1676858830.2775393
Forest Garage,853.0,1.0,852.0,1676858830.2775393
Liberty Square (Tally Hall),540.0,177.0,363.0,1676858830.2775393
Ann Ashley,811.0,352.0,459.0,1676858830.2775393
South Ashley (Kline Lot),143.0,9.0,134.0,1676858830.2775393
4th & William,960.0,251.0,709.0,1676858830.2775393
1st & Wash.,243.0,243.0,0.0,1676858830.2775393
4th & Wash.,270.0,11.0,259.0,1676858830.2775393
1st and William,110.0,0.0,110.0,1676862429.2162333
Library Lane,744.0,73.0,671.0,1676862429.2162333
Maynard,791.0,66.0,725.0,1676862429.2162333
Forest Garage,853.0,1.0,852.0,1676862429.2162333
Liberty Square (Tally Hall),540.0,177.0,363.0,1676862429.2162333
Ann Ashley,811.0,352.0,459.0,1676862429.2162333
South Ashley (Kline Lot),143.0,9.0,134.0,1676862429.2162333
4th & William,960.0,251.0,709.0,1676862429.2162333
1st & Wash.,243.0,243.0,0.0,1676862429.2162333
4th & Wash.,270.0,11.0,259.0,1676862429.2162333
1st and William,110.0,0.0,110.0,1676866032.2428336
Library Lane,744.0,73.0,671.0,1676866032.2428336
Maynard,791.0,66.0,725.0,1676866032.2428336
Forest Garage,853.0,1.0,852.0,1676866032.2428336
Liberty Square (Tally Hall),540.0,177.0,363.0,1676866032.2428336
Ann Ashley,811.0,352.0,459.0,1676866032.2428336
South Ashley (Kline Lot),143.0,9.0,134.0,1676866032.2428336
4th & William,960.0,251.0,709.0,1676866032.2428336
1st & Wash.,243.0,243.0,0.0,1676866032.2428336
4th & Wash.,270.0,11.0,259.0,1676866032.2428336
1st and William,110.0,0.0,110.0,1676869629.0431871
Library Lane,744.0,73.0,671.0,1676869629.0431871
Maynard,791.0,66.0,725.0,1676869629.0431871
Forest Garage,853.0,1.0,852.0,1676869629.0431871
Liberty Square (Tally Hall),540.0,177.0,363.0,1676869629.0431871
Ann Ashley,811.0,352.0,459.0,1676869629.0431871
South Ashley (Kline Lot),143.0,9.0,134.0,1676869629.0431871
4th & William,960.0,251.0,709.0,1676869629.0431871
1st & Wash.,243.0,243.0,0.0,1676869629.0431871
4th & Wash.,270.0,11.0,259.0,1676869629.0431871
1st and William,110.0,0.0,110.0,1676873230.315799
Library Lane,744.0,73.0,671.0,1676873230.315799
Maynard,791.0,66.0,725.0,1676873230.315799
Forest Garage,853.0,1.0,852.0,1676873230.315799
Liberty Square (Tally Hall),540.0,177.0,363.0,1676873230.315799
Ann Ashley,811.0,352.0,459.0,1676873230.315799
South Ashley (Kline Lot),143.0,9.0,134.0,1676873230.315799
4th & William,960.0,251.0,709.0,1676873230.315799
1st & Wash.,243.0,243.0,0.0,1676873230.315799
4th & Wash.,270.0,11.0,259.0,1676873230.315799
1st and William,110.0,0.0,110.0,1676876826.5284295
Library Lane,744.0,73.0,671.0,1676876826.5284295
Maynard,791.0,66.0,725.0,1676876826.5284295
Forest Garage,853.0,1.0,852.0,1676876826.5284295
Liberty Square (Tally Hall),540.0,177.0,363.0,1676876826.5284295
Ann Ashley,811.0,352.0,459.0,1676876826.5284295
South Ashley (Kline Lot),143.0,9.0,134.0,1676876826.5284295
4th & William,960.0,251.0,709.0,1676876826.5284295
1st & Wash.,243.0,243.0,0.0,1676876826.5284295
4th & Wash.,270.0,11.0,259.0,1676876826.5284295
1st and William,110.0,0.0,110.0,1676880432.0310066
Library Lane,744.0,73.0,671.0,1676880432.0310066
Maynard,791.0,66.0,725.0,1676880432.0310066
Forest Garage,853.0,1.0,852.0,1676880432.0310066
Liberty Square (Tally Hall),540.0,177.0,363.0,1676880432.0310066
Ann Ashley,811.0,352.0,459.0,1676880432.0310066
South Ashley (Kline Lot),143.0,9.0,134.0,1676880432.0310066
4th & William,960.0,251.0,709.0,1676880432.0310066
1st & Wash.,243.0,243.0,0.0,1676880432.0310066
4th & Wash.,270.0,11.0,259.0,1676880432.0310066
1st and William,110.0,0.0,110.0,1676884034.2247193
Library Lane,744.0,73.0,671.0,1676884034.2247193
Maynard,791.0,66.0,725.0,1676884034.2247193
Forest Garage,853.0,1.0,852.0,1676884034.2247193
Liberty Square (Tally Hall),540.0,177.0,363.0,1676884034.2247193
Ann Ashley,811.0,352.0,459.0,1676884034.2247193
